progressivo;anno;provenienza;"Comuni";"Gen Arrivi";"Feb Arrivi";"Mar Arrivi";"Apr Arrivi";"Mag Arrivi";"Giu Arrivi";"Lug Arrivi";"Ago Arrivi";"Set Arrivi";"Ott Arrivi";"Nov Arrivi";"Dic Arrivi";"Totale arrivi"
1;2021;Italiani + stranieri;23001 - Affi;100;231;238;352;755;1828;4239;4760;3680;2450;584;333;19550
2;2021;Italiani + stranieri;23004 - Arcole;9;15;16;19;15;21;11;6;27;18;13;13;183
3;2021;Italiani + stranieri;23005 - Badia Calavena;0;11;8;14;16;7;11;5;11;7;6;0;96
4;2021;Italiani + stranieri;23006 - Bardolino;89;1584;1138;2037;29986;54223;72849;76612;60157;42087;8338;6548;355648
5;2021;Italiani + stranieri;23009 - Bonavigo;3;13;4;20;31;37;61;73;56;39;8;0;345
6;2021;Italiani + stranieri;23011 - Bosco Chiesanuova;196;672;96;57;428;612;1078;1512;403;455;181;393;6083
7;2021;Italiani + stranieri;23012 - Bovolone;204;171;223;215;270;397;453;235;492;397;214;142;3413
8;2021;Italiani + stranieri;23013 - Brentino Belluno;50;78;65;54;156;288;682;809;419;270;56;8;2935
9;2021;Italiani + stranieri;23014 - Brenzone sul Garda;71;441;175;243;4626;11922;19794;21087;14899;5697;830;670;80455
10;2021;Italiani + stranieri;23015 - Bussolengo;615;824;782;742;1457;3773;10244;15068;8944;4035;2738;2469;51691
11;2021;Italiani + stranieri;23016 - Buttapietra;1;7;12;5;6;36;81;60;48;40;59;39;394
12;2021;Italiani + stranieri;23017 - Caldiero;179;209;256;225;389;455;730;1114;725;655;614;476;6027
13;2021;Italiani + stranieri;23018 - Caprino Veronese;33;230;137;195;1031;2085;4293;5551;3768;1918;144;213;19598
14;2021;Italiani + stranieri;23021 - Castel d'Azzano;243;412;329;337;529;771;1202;1900;1310;1685;1286;1018;11022
15;2021;Italiani + stranieri;23022 - Castelnuovo del Garda;642;1489;990;1357;6876;26048;42328;44631;33851;22412;2791;3264;186679
16;2021;Italiani + stranieri;23023 - Cavaion Veronese;130;500;390;256;1617;3310;5036;4677;4107;2748;1406;1335;25512
17;2021;Italiani + stranieri;23024 - Cazzano di Tramigna;17;64;23;25;79;83;141;277;185;142;106;146;1288
18;2021;Italiani + stranieri;23025 - Cerea;45;49;34;34;64;111;142;200;210;188;125;66;1268
19;2021;Italiani + stranieri;23027 - Cologna Veneta;52;23;36;20;28;56;37;48;62;33;19;16;430
20;2021;Italiani + stranieri;23028 - Colognola ai Colli;26;39;43;35;134;221;615;668;444;347;222;160;2954
21;2021;Italiani + stranieri;23030 - Costermano sul Garda;81;177;171;235;3420;6699;10741;11472;8312;6194;834;584;48920
22;2021;Italiani + stranieri;23031 - Dolcé;45;58;88;74;99;176;273;517;344;195;133;140;2142
23;2021;Italiani + stranieri;23033 - Erbezzo;2;11;18;0;44;108;173;300;123;47;20;34;880
24;2021;Italiani + stranieri;23034 - Ferrara di Monte Baldo;8;53;14;3;26;127;455;689;537;185;2;36;2135
25;2021;Italiani + stranieri;23035 - Fumane;37;78;57;40;353;645;1400;1719;853;766;317;191;6456
26;2021;Italiani + stranieri;23036 - Garda;31;465;341;265;7013;16735;29414;34249;26244;15271;2287;2509;134824
27;2021;Italiani + stranieri;23037 - Gazzo Veronese;24;29;28;15;25;24;20;18;39;29;17;2;270
28;2021;Italiani + stranieri;23038 - Grezzana;93;127;118;166;284;445;679;928;603;543;306;222;4514
29;2021;Italiani + stranieri;23039 - Illasi;87;130;100;83;185;389;724;793;498;352;297;2;3640
30;2021;Italiani + stranieri;23040 - Isola della Scala;67;82;88;86;124;154;202;280;301;192;124;80;1780
31;2021;Italiani + stranieri;23042 - Lavagno;40;36;40;36;52;78;130;291;166;141;78;57;1145
32;2021;Italiani + stranieri;23043 - Lazise;716;3348;1866;3245;48223;77062;112413;122847;90757;52473;9505;6085;528540
33;2021;Italiani + stranieri;23044 - Legnago;587;747;706;552;780;924;870;1001;1419;1495;1016;851;10948
34;2021;Italiani + stranieri;23045 - Malcesine;30;633;399;359;10944;29890;47390;50500;39196;17158;486;637;197622
35;2021;Italiani + stranieri;23046 - Marano di Valpolicella;20;75;27;26;171;216;401;584;383;349;202;136;2590
36;2021;Italiani + stranieri;23047 - Mezzane di Sotto;8;82;50;53;260;333;473;485;321;337;132;138;2672
37;2021;Italiani + stranieri;23049 - Montecchia di Crosara;14;13;7;16;33;44;29;80;47;37;25;14;359
38;2021;Italiani + stranieri;23050 - Monteforte d'Alpone;41;33;36;37;58;50;93;128;109;86;56;37;764
39;2021;Italiani + stranieri;23051 - Mozzecane;6;9;12;20;49;55;69;78;63;61;39;10;471
40;2021;Italiani + stranieri;23052 - Negrar di Valpolicella;621;811;775;663;1441;1697;2580;3503;2258;2358;1503;1033;19243
41;2021;Italiani + stranieri;23053 - Nogara;254;272;207;172;260;268;308;577;454;516;375;210;3873
42;2021;Italiani + stranieri;23054 - Nogarole Rocca;472;615;788;636;1090;1440;2324;3319;2527;1955;1530;943;17639
43;2021;Italiani + stranieri;23055 - Oppeano;154;148;177;151;206;274;252;304;296;309;290;219;2780
44;2021;Italiani + stranieri;23057 - Pastrengo;42;90;61;54;278;811;2148;2621;1797;1231;175;134;9442
45;2021;Italiani + stranieri;23058 - Pescantina;216;914;564;566;1643;1430;2148;2640;2351;2293;1947;1675;18387
46;2021;Italiani + stranieri;23059 - Peschiera del Garda;897;3078;2002;3040;25238;43992;71597;79304;58533;42235;7449;5265;342630
47;2021;Italiani + stranieri;23060 - Povegliano Veronese;4;9;11;7;31;35;53;123;82;75;53;17;500
48;2021;Italiani + stranieri;23062 - Rivoli Veronese;8;70;47;29;221;468;967;1301;785;297;119;83;4395
49;2021;Italiani + stranieri;23064 - Ronco all'Adige;36;73;87;67;107;167;81;197;158;184;112;139;1408
50;2021;Italiani + stranieri;23065 - Roverchiara;1;13;23;11;5;7;1;5;4;4;0;3;77
51;2021;Italiani + stranieri;23067 - Roveré Veronese;10;58;25;15;20;69;120;157;67;85;39;40;705
52;2021;Italiani + stranieri;23068 - Salizzole;28;48;51;34;31;34;42;39;50;69;46;1;473
53;2021;Italiani + stranieri;23069 - San Bonifacio;996;1260;1336;1107;1853;2217;3070;3822;3187;2982;2242;1584;25656
54;2021;Italiani + stranieri;23070 - San Giovanni Ilarione;2;0;3;1;3;4;5;7;1;3;1;3;33
55;2021;Italiani + stranieri;23071 - San Giovanni Lupatoto;953;1204;1285;1203;1674;2062;3226;4935;3675;3980;3233;2225;29655
56;2021;Italiani + stranieri;23073 - San Martino Buon Albergo;918;1264;1159;1184;2023;2415;3983;5593;4391;3588;3228;2938;32684
57;2021;Italiani + stranieri;23074 - San Mauro di Saline;5;30;9;10;10;49;30;75;27;14;6;8;273
58;2021;Italiani + stranieri;23076 - San Pietro in Cariano;101;374;177;188;1417;1983;3604;4765;3201;2551;1643;1041;21045
59;2021;Italiani + stranieri;23077 - Sant'Ambrogio di Valpolicella;100;119;104;92;432;733;1527;2132;1142;1006;444;251;8082
60;2021;Italiani + stranieri;23078 - Sant'Anna d'Alfaedo;0;23;8;9;37;133;131;238;143;120;33;20;895
61;2021;Italiani + stranieri;23079 - San Zeno di Montagna;6;49;20;56;1245;2973;6411;9052;6479;3922;979;374;31566
62;2021;Italiani + stranieri;23080 - Selva di Progno;2;8;3;0;5;27;146;136;55;59;14;12;467
63;2021;Italiani + stranieri;23081 - Soave;89;181;139;115;402;848;1322;2559;2077;1924;799;334;10789
64;2021;Italiani + stranieri;23082 - Sommacampagna;399;523;445;552;1166;1846;3664;4994;4300;3815;2985;2499;27188
65;2021;Italiani + stranieri;23083 - Sona;183;275;141;183;706;1501;2417;2857;1754;1395;268;259;11939
66;2021;Italiani + stranieri;23084 - Sorgà;18;32;27;30;47;68;77;60;73;65;34;7;538
67;2021;Italiani + stranieri;23086 - Torri del Benaco;34;209;94;131;3189;7815;15537;18078;13359;6775;722;664;66607
68;2021;Italiani + stranieri;23087 - Tregnago;79;71;39;102;298;347;476;541;414;415;287;252;3321
69;2021;Italiani + stranieri;23089 - Valeggio sul Mincio;190;434;385;373;4679;8917;13831;15997;9293;4233;2016;1710;62058
70;2021;Italiani + stranieri;23090 - Velo Veronese;10;100;29;16;95;286;319;360;168;138;55;101;1677
71;2021;Italiani + stranieri;23091 - Verona;7853;13203;10146;12011;30072;49754;90094;123876;95152;86891;65258;48847;633157
72;2021;Italiani + stranieri;23093 - Vestenanova;2;0;14;14;7;56;51;116;25;16;5;3;309
73;2021;Italiani + stranieri;23094 - Vigasio;457;571;537;431;860;981;1844;2528;1718;1574;1122;942;13565
74;2021;Italiani + stranieri;23095 - Villa Bartolomea;159;199;265;253;485;502;594;513;565;769;570;499;5373
75;2021;Italiani + stranieri;23096 - Villafranca di Verona;1528;1931;2057;2464;4190;6886;12942;18210;12667;10464;8246;5474;87059
76;2021;Italiani + stranieri;23097 - Zevio;133;280;369;290;465;551;786;944;940;1019;763;365;6905
77;2021;Italiani + stranieri;24001 - Agugliaro;6;4;5;5;9;11;44;18;62;45;58;35;302
78;2021;Italiani + stranieri;24002 - Albettone;19;31;20;35;43;50;60;57;45;58;20;37;475
79;2021;Italiani + stranieri;24004 - Altavilla Vicentina;857;906;965;956;1379;1351;1798;2346;1974;2210;1903;1578;18223
80;2021;Italiani + stranieri;24005 - Altissimo;34;37;21;71;14;26;105;18;91;55;6;41;519
81;2021;Italiani + stranieri;24006 - Arcugnano;52;104;89;100;222;644;1209;1434;1292;880;148;95;6269
82;2021;Italiani + stranieri;24007 - Arsiero;124;195;255;239;184;306;463;610;343;258;149;71;3197
83;2021;Italiani + stranieri;24008 - Arzignano;95;116;107;125;119;153;184;118;225;186;139;108;1675
