progressivo;anno;provenienza;"Comuni";"Gen Presenze";"Feb Presenze";"Mar Presenze";"Apr Presenze";"Mag Presenze";"Giu Presenze";"Lug Presenze";"Ago Presenze";"Set Presenze";"Ott Presenze";"Nov Presenze";"Dic Presenze";"Totale presenze"
1;2021;Italiani + stranieri;23001 - Affi;174;412;496;586;1555;3093;7562;11259;7151;4575;884;465;38212
2;2021;Italiani + stranieri;23004 - Arcole;20;32;46;76;54;64;58;53;71;87;70;87;718
3;2021;Italiani + stranieri;23005 - Badia Calavena;0;29;34;53;64;80;115;113;98;78;28;0;692
4;2021;Italiani + stranieri;23006 - Bardolino;605;2602;2302;3466;88561;233382;379967;463651;341785;177757;20979;12803;1727860
5;2021;Italiani + stranieri;23009 - Bonavigo;5;32;4;59;119;161;272;286;197;73;12;0;1220
6;2021;Italiani + stranieri;23011 - Bosco Chiesanuova;338;974;142;88;578;1363;6476;8912;782;623;349;517;21142
7;2021;Italiani + stranieri;23012 - Bovolone;1251;1047;772;676;803;1077;1050;527;1105;1078;654;256;10296
8;2021;Italiani + stranieri;23013 - Brentino Belluno;134;187;170;133;361;582;1397;2089;1037;384;137;44;6655
9;2021;Italiani + stranieri;23014 - Brenzone sul Garda;221;820;478;609;13064;44808;90765;113299;76270;24611;2241;1478;368664
10;2021;Italiani + stranieri;23015 - Bussolengo;8042;8497;9229;8604;10026;13576;28890;45024;25435;15794;9953;7480;190550
11;2021;Italiani + stranieri;23016 - Buttapietra;1;7;31;5;119;158;351;535;208;157;156;163;1891
12;2021;Italiani + stranieri;23017 - Caldiero;956;706;785;775;998;1188;1828;2477;1875;1542;1470;1250;15850
13;2021;Italiani + stranieri;23018 - Caprino Veronese;226;683;430;531;2322;6004;13067;18395;10855;4381;652;435;57981
14;2021;Italiani + stranieri;23021 - Castel d'Azzano;517;722;998;685;895;1403;1989;4447;2426;2963;2363;1614;21022
15;2021;Italiani + stranieri;23022 - Castelnuovo del Garda;1308;3064;2674;2925;16739;75376;175560;235561;141714;65556;6400;18968;745845
