progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Gennaio;52574;43178;211799;199890;95752;411689
2;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Febbraio;38726;52704;168106;263783;91430;431889
3;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Marzo;29157;31284;134157;153173;60441;287330
4;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Aprile;18435;16332;63490;42227;34767;105717
5;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Maggio;26269;40772;66491;88645;67041;155136
6;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Giugno;52065;122539;153596;278503;174604;432099
7;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Luglio;88304;167120;386861;418354;255424;805215
8;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Agosto;0;0;0;0;0;0
9;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Settembre;0;0;0;0;0;0
10;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Ottobre;0;0;0;0;0;0
11;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Novembre;0;0;0;0;0;0
12;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;Dicembre;0;0;0;0;0;0
13;2026, periodo Gennaio-Luglio;PROVINCIA;Belluno;TOTALE;305530;473929;1184500;1444575;779459;2629075
