progressivo;anno;provenienza;Comuni;Gen Presenze;Feb Presenze;Mar Presenze;Apr Presenze;Mag Presenze;Giu Presenze;Lug Presenze;Ago Presenze;Set Presenze;Ott Presenze;Nov Presenze;Dic Presenze;Totale presenze
142;2025;Italiani + stranieri;25001 - Agordo;1769;1504;1277;1347;1674;2379;3541;1347;1928;0;0;0;16766
143;2025;Italiani + stranieri;25003 - Alleghe;22080;27090;15401;2741;4592;12658;30686;33782;14494;0;0;0;163524
144;2025;Italiani + stranieri;25004 - Arsié;152;103;75;1513;2994;7130;12355;13032;3023;0;0;0;40377
145;2025;Italiani + stranieri;25005 - Auronzo di Cadore;14943;16367;6807;3114;8492;46741;80395;85322;39502;0;0;0;301683
146;2025;Italiani + stranieri;25006 - Belluno;9038;8585;8779;10245;11131;12806;17491;22732;12862;0;0;0;113669
147;2025;Italiani + stranieri;25007 - Borca di Cadore;8411;10122;6569;5110;5167;13699;19840;19964;11542;0;0;0;100424
148;2025;Italiani + stranieri;25008 - Calalzo di Cadore;2966;2197;1976;2441;3233;6455;12101;13490;5753;0;0;0;50612
149;2025;Italiani + stranieri;25010 - Cencenighe Agordino;315;600;169;157;302;617;1287;1793;467;0;0;0;5707
150;2025;Italiani + stranieri;25011 - Cesiomaggiore;160;105;115;291;474;517;941;1312;650;0;0;0;4565
151;2025;Italiani + stranieri;25012 - Chies d'Alpago;723;367;337;648;384;379;1265;1603;847;0;0;0;6553
152;2025;Italiani + stranieri;25013 - Cibiana di Cadore;527;571;152;275;258;1096;1804;2135;834;0;0;0;7652
153;2025;Italiani + stranieri;25014 - Colle Santa Lucia;2092;2507;1567;457;671;1743;3245;4191;2405;0;0;0;18878
154;2025;Italiani + stranieri;25015 - Comelico Superiore;7941;9498;4824;1139;1820;7568;21161;23883;7869;0;0;0;85703
155;2025;Italiani + stranieri;25016 - Cortina d'Ampezzo;99032;109335;79642;36264;33480;106852;152819;174249;108450;0;0;0;900123
156;2025;Italiani + stranieri;25017 - Danta di Cadore;261;239;105;178;230;599;1233;1348;83;0;0;0;4276
157;2025;Italiani + stranieri;25018 - Domegge di Cadore;538;282;225;309;539;1322;3035;3427;1166;0;0;0;10843
158;2025;Italiani + stranieri;25019 - Falcade;39543;43477;19964;2975;1304;15451;52444;58858;14922;0;0;0;248938
159;2025;Italiani + stranieri;25021 - Feltre;3264;3201;3233;4600;3980;4734;5887;6467;4268;0;0;0;39634
160;2025;Italiani + stranieri;25022 - Fonzaso;117;95;174;175;183;226;290;450;331;0;0;0;2041
161;2025;Italiani + stranieri;25023 - Canale d'Agordo;3384;3510;1812;1429;1561;5113;12418;16139;4160;0;0;0;49526
162;2025;Italiani + stranieri;25025 - Gosaldo;142;45;3;30;88;334;2074;2340;473;0;0;0;5529
163;2025;Italiani + stranieri;25026 - Lamon;480;290;229;433;803;1263;2213;2975;1250;0;0;0;9936
