;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Altri America;Altri paesi;Altri paesi Africa;Altri Paesi Africa Mediterranea;Altri Paesi Asia Occidentale;Altri paesi asiatici;Altri paesi europei;Argentina;Australia;Austria;Belgio;Brasile;Bulgaria;Canada;Cina;Cipro;Corea del Sud;Croazia;Danimarca;Egitto;Estonia;Finlandia;Francia;Germania;Giappone;Grecia;India;Irlanda;Islanda;Israele;Lettonia;Lituania;Lussemburgo;Malta;Messico;Norvegia;Nuova Zelanda;Paesi Bassi;Polonia;Portogallo;Regno Unito;Repubblica Ceca;Romania;Russia;Slovacchia;Slovenia;Spagna;Sud africa;Svezia;Svizzera-Liecht;Turchia;Ucraina;Ungheria;Usa;Venezuela;Totale stranieri
01Gennaio;1104;195;31;36;519;542;4575;326;3124;2298;1953;2115;814;387;873;93;288;8140;1013;79;2;254;1879;18351;730;564;112;997;96;694;69;863;66;231;169;835;751;4200;37456;202;9104;16163;8859;7985;4521;13454;2559;249;2628;1976;1184;2920;3285;3786;67;175766
02Febbraio;424;219;158;217;496;555;3737;446;1552;4384;7832;1733;621;1376;561;87;160;1245;2716;5;215;1109;4132;29337;943;330;83;1664;127;578;379;1077;399;493;256;2052;347;11746;46949;642;21963;37847;3705;5538;5578;20444;3104;178;13757;3239;355;1177;6023;6114;45;260449
03Marzo;40;17;;2;11;72;173;98;109;569;279;189;107;116;51;4;12;37;105;14;24;163;301;4618;76;27;9;108;4;26;54;36;16;;11;20;277;927;686;55;2263;3923;233;441;237;372;230;6;885;386;10;188;192;840;8;19657
04Aprile;;;;;;;48;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;168;;;;90;;26;;;;;;;;;;;;;403
05Maggio;8;;2;2;;1;68;13;;9;;;;;;;;;;;;;;6;;;1;;;;;;;;;;124;;;418;98;;72;4;15;;2;;;1;;1;;24;;869
06Giugno;45;6;22;68;17;16;165;4;4;410;283;27;9;;25;;8;9;13;;2;16;642;3570;;52;1;;;4;2;5;8;1;9;2;121;713;221;798;118;236;195;19;54;89;49;3;;575;19;26;213;231;;9125
07Luglio;130;138;84;79;35;259;905;44;60;2440;4210;83;126;93;174;2;149;172;370;51;31;161;5392;15761;71;215;48;69;6;11;104;111;124;3;16;110;172;3603;3321;334;1771;3105;476;178;238;1237;1196;19;198;2788;46;202;1134;1160;12;53027
08Agosto;220;196;318;137;109;512;1615;67;180;3048;3165;166;71;84;411;5;104;224;255;53;28;98;8400;18139;119;136;60;123;9;31;68;91;443;14;20;74;197;4816;4011;137;3266;2872;886;316;266;1517;2682;11;161;2777;42;247;843;965;88;64893
09Settembre;135;81;102;118;38;109;748;21;200;3248;3035;91;89;130;170;8;41;51;221;119;33;30;3843;21463;49;229;63;135;4;27;30;40;203;55;27;28;184;5328;3154;251;2591;1933;560;150;277;1438;813;12;122;3253;54;159;116;1049;34;56492
10Ottobre;51;19;28;72;18;57;368;23;43;500;383;38;230;86;100;7;14;25;50;153;18;5;597;3853;8;179;11;49;;;11;13;24;8;24;10;167;509;337;182;544;141;434;21;17;170;273;;40;700;17;51;50;368;23;11119
11Novembre;43;30;13;59;10;9;312;5;;352;36;28;675;33;10;;5;5;1;197;3;41;76;669;;256;;5;;1;;1;2;4;;;120;50;232;141;242;48;306;11;18;6;90;5;1;17;;24;5;175;1;4373
12Dicembre;87;25;5;109;21;48;567;5;2;100;118;20;489;46;28;31;43;23;20;134;;46;153;120;35;533;2;21;5;;1;11;12;3;1;;126;53;377;27;357;39;147;426;34;26;62;3;;114;;33;17;338;2;5045
