;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESE;Altri America Paese;Altri paesi Paese;Altri paesi Africa Paese;Altri Paesi Africa Mediterranea Paese;Altri Paesi Asia Occidentale Paese;Altri paesi asiatici Paese;Altri paesi europei Paese;Argentina Paese;Australia Paese;Austria Paese;Belgio Paese;Brasile Paese;Bulgaria Paese;Canada Paese;Cina Paese;Cipro Paese;Corea del Sud Paese;Croazia Paese;Danimarca Paese;Egitto Paese;Estonia Paese;Finlandia Paese;Francia Paese;Germania Paese;Giappone Paese;Grecia Paese;India Paese;Irlanda Paese;Islanda Paese;Israele Paese;Lettonia Paese;Lituania Paese;Lussemburgo Paese;Malta Paese;Messico Paese;Norvegia Paese;Nuova Zelanda Paese;Paesi Bassi Paese;Polonia Paese;Portogallo Paese;Regno Unito Paese;Repubblica Ceca Paese;Romania Paese;Russia Paese;Slovacchia Paese;Slovenia Paese;Spagna Paese;Sud africa Paese;Svezia Paese;Svizzera-Liecht Paese;Turchia Paese;Ucraina Paese;Ungheria Paese;Usa Paese;Venezuela Paese;Totale stranieri Paese
01Gennaio;666;10;60;46;228;358;1027;184;522;2079;2001;284;419;372;218;15;28;4024;620;31;118;121;1595;12847;46;335;36;669;153;133;106;679;99;93;66;348;71;5475;17725;149;7292;7777;4440;1933;3098;7373;1839;1;905;1503;25;372;1931;3277;49;95871
02Febbraio;451;132;45;63;239;550;953;189;446;3179;4065;176;409;550;156;10;23;2383;3041;20;378;409;2598;15155;70;346;63;1150;220;678;450;1144;155;391;121;896;63;8204;28685;818;15266;15083;3850;892;3687;13512;2045;24;7150;2134;44;406;2379;3984;48;149578
03Marzo;219;27;44;35;303;424;920;98;336;2526;4358;197;655;484;78;21;54;782;713;8;125;371;1824;20229;53;269;88;625;28;580;389;273;58;284;51;454;26;7334;14761;548;9765;25149;1710;168;4195;3856;1135;14;4720;1323;55;229;1721;3485;3;118180
04Aprile;192;;6;92;42;270;464;72;119;450;2162;363;56;470;238;5;66;133;37;;5;120;540;2656;22;38;95;89;;460;41;65;41;154;46;53;11;781;601;301;2324;735;536;16;247;187;896;23;369;436;22;224;108;759;7;18245
05Maggio;194;;19;70;101;620;592;191;293;1555;470;490;98;457;177;2;190;68;72;4;28;184;1516;5354;20;21;92;155;25;579;89;90;7;56;41;122;37;1635;674;345;1220;913;397;36;227;164;1105;28;419;651;47;184;250;2559;13;24946
06Giugno;916;33;118;95;214;1807;1155;315;1257;4632;2460;897;107;1314;483;90;1495;1097;470;28;130;1007;7915;19783;174;356;299;562;69;1571;233;421;108;114;317;918;170;6562;5784;1138;4730;4762;1469;235;1158;1918;4725;224;1129;3122;86;396;1742;11024;62;103396
07Luglio;641;45;153;211;810;2272;2063;311;1404;5036;7771;675;483;2099;510;58;3139;1823;3170;50;183;1916;13768;25321;330;503;206;675;45;3930;328;884;282;289;201;2787;327;11015;11633;534;6681;16772;2798;510;2665;4461;9795;150;2564;4995;213;1123;2992;16016;54;179670
08Agosto;523;90;177;112;735;1152;2197;252;1330;4711;3912;610;511;1755;787;64;2097;1416;1000;53;99;375;18321;23721;291;490;230;582;16;3833;167;768;407;414;172;637;248;9238;8841;358;6021;7471;2879;463;1511;2562;13174;49;600;3758;65;763;1729;9038;70;142845
09Settembre;775;28;61;193;238;2273;1252;414;2220;4610;3388;1191;210;2570;417;36;1272;618;469;21;52;547;7910;22970;239;170;250;983;315;3512;292;447;177;457;257;935;357;5641;6373;377;5822;3678;1641;337;1075;1270;4299;117;601;3810;104;490;997;15397;54;114209
10Ottobre;275;7;38;227;148;2489;740;182;757;1416;454;926;96;836;373;45;708;234;118;37;49;238;1421;4845;102;149;110;134;4;1555;95;173;13;104;121;200;68;805;852;219;1417;894;720;120;177;412;1009;33;82;1289;42;270;294;4066;13;32201
11Novembre;58;1;30;194;24;368;726;32;193;106;106;455;3;170;122;8;86;111;12;84;10;13;220;420;15;19;11;19;;92;10;36;;41;47;1;2;39;155;66;311;27;291;23;28;127;437;;6;81;7;129;28;428;;6028
12Dicembre;507;18;196;227;330;1790;1963;118;1169;888;1089;925;698;503;702;17;238;2175;292;56;149;61;1166;7621;92;445;131;675;18;518;172;227;115;211;332;87;114;2502;4875;256;5506;7115;3650;724;1485;12896;1468;160;442;1178;47;1167;1050;6337;81;76974
