;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MESE;Altri America Paese;Altri paesi Paese;Altri paesi Africa Paese;Altri Paesi Africa Mediterranea Paese;Altri Paesi Asia Occidentale Paese;Altri paesi asiatici Paese;Altri paesi europei Paese;Argentina Paese;Australia Paese;Austria Paese;Belgio Paese;Brasile Paese;Bulgaria Paese;Canada Paese;Cina Paese;Cipro Paese;Corea del Sud Paese;Croazia Paese;Danimarca Paese;Egitto Paese;Estonia Paese;Finlandia Paese;Francia Paese;Germania Paese;Giappone Paese;Grecia Paese;India Paese;Irlanda Paese;Islanda Paese;Israele Paese;Lettonia Paese;Lituania Paese;Lussemburgo Paese;Malta Paese;Messico Paese;Norvegia Paese;Nuova Zelanda Paese;Paesi Bassi Paese;Polonia Paese;Portogallo Paese;Regno Unito Paese;Repubblica Ceca Paese;Romania Paese;Russia Paese;Slovacchia Paese;Slovenia Paese;Spagna Paese;Sud africa Paese;Svezia Paese;Svizzera-Liecht Paese;Turchia Paese;Ucraina Paese;Ungheria Paese;Usa Paese;Venezuela Paese;Totale stranieri
01Gennaio;1274;11;106;45;314;653;4313;472;4538;3316;2729;2467;1298;1351;456;97;191;6738;979;10;300;205;1913;17091;311;583;98;1352;99;867;312;963;259;237;178;593;734;5716;29825;384;10959;10586;5616;1434;4830;13516;3392;138;1675;2540;562;1463;3729;6163;120;160101
02Febbraio;560;83;129;87;431;784;3235;454;1996;3657;5956;1886;1166;949;213;70;235;2541;2658;12;912;851;3904;20970;567;608;117;1530;76;855;337;823;241;543;204;1666;405;7912;41977;1329;19849;24723;8381;1193;5336;20840;2852;171;9061;2977;391;1057;3019;7994;91;220864
03Marzo;316;5;137;194;266;611;1866;224;790;3196;1996;981;689;1025;256;75;450;1202;638;13;361;503;1937;16517;439;344;102;1158;7;1229;306;408;38;292;164;576;213;6755;19633;528;11077;28477;1821;530;7190;3751;1512;75;5058;1880;219;390;2239;5903;27;136589
04Aprile;247;;54;212;61;1222;671;121;378;510;1366;910;87;351;339;10;507;125;97;6;35;85;1131;4714;45;111;261;177;2;588;53;120;13;200;226;73;32;641;856;231;2476;1098;395;60;539;326;1297;15;236;487;18;292;360;1598;15;26080
05Maggio;482;16;33;157;114;1934;791;264;1847;1461;1138;1295;103;830;254;18;1096;177;311;5;90;171;2346;5412;107;75;333;160;5;490;106;134;57;43;165;293;255;1661;998;229;1621;1818;597;84;540;648;1668;68;150;750;33;188;704;4780;11;39116
06Giugno;745;17;85;232;299;4099;1234;509;3950;4354;2755;1407;544;2514;964;122;5269;1566;612;30;108;1267;9490;19588;1054;611;512;1116;296;2104;432;574;236;182;194;1239;626;6565;7917;965;7049;5852;2781;303;1563;2539;6248;215;1113;3793;373;794;2145;17542;71;138764
07Luglio;689;64;206;302;920;3255;2847;460;4441;5119;8898;1040;997;3077;1594;179;6539;1625;4152;158;343;1934;18386;25991;2144;409;518;1062;54;4636;766;1221;261;493;345;3355;963;11124;15320;775;9509;22717;4779;841;3603;4962;12200;438;3550;6917;335;1850;5992;19456;103;233914
08Agosto;573;50;231;120;843;2009;2359;356;3319;4749;5089;759;523;2059;972;34;3186;1681;982;61;181;364;23064;23310;985;327;439;794;44;4023;390;731;358;489;249;768;752;9167;10981;553;8246;10022;4513;624;2650;3013;16210;112;608;3930;175;1189;2636;13783;50;175685
09Settembre;674;49;112;169;496;3596;1430;351;4742;4985;4294;1680;396;4784;1234;39;2720;680;598;108;206;783;10352;23541;636;111;519;1039;243;3672;258;598;177;595;380;1050;955;7404;7389;743;9065;5206;2887;390;1468;2424;5612;231;718;4002;259;787;1932;25347;63;154179
10Ottobre;327;6;63;176;161;4004;918;195;1320;1063;350;1365;97;1243;1443;49;1414;178;151;64;48;179;1594;4657;148;163;365;248;16;727;119;247;24;99;81;151;243;907;867;357;1686;729;977;142;198;427;1718;54;137;1466;70;299;550;6572;11;40863
11Novembre;138;1;34;346;104;388;703;52;112;68;121;435;51;124;164;5;105;43;203;195;;34;303;482;36;23;46;38;;16;45;19;3;53;40;2;22;87;766;72;331;107;462;69;18;120;407;4;20;96;15;88;242;570;6;8034
12Dicembre;484;;159;198;367;2004;2334;244;1087;842;1402;1373;734;393;541;96;277;2344;330;179;72;74;1012;8195;141;424;250;613;25;106;130;255;212;166;362;87;62;2532;7038;366;4782;7809;4175;539;1720;13865;1978;123;279;1142;152;1141;840;6201;67;82323
