;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TOTALE
MESE;Altri America Paese;Altri paesi Paese;Altri paesi Africa Paese;Altri Paesi Africa Mediterranea Paese;Altri Paesi Asia Occidentale Paese;Altri paesi asiatici Paese;Altri paesi europei Paese;Argentina Paese;Australia Paese;Austria Paese;Belgio Paese;Brasile Paese;Bulgaria Paese;Canada Paese;Cina Paese;Cipro Paese;Corea del Sud Paese;Croazia Paese;Danimarca Paese;Egitto Paese;Estonia Paese;Finlandia Paese;Francia Paese;Germania Paese;Giappone Paese;Grecia Paese;India Paese;Irlanda Paese;Islanda Paese;Israele Paese;Lettonia Paese;Lituania Paese;Lussemburgo Paese;Malta Paese;Messico Paese;Norvegia Paese;Nuova Zelanda Paese;Paesi Bassi Paese;Polonia Paese;Portogallo Paese;Regno Unito Paese;Repubblica Ceca Paese;Romania Paese;Russia Paese;Slovacchia Paese;Slovenia Paese;Spagna Paese;Sud africa Paese;Svezia Paese;Svizzera-Liecht Paese;Turchia Paese;Ucraina Paese;Ungheria Paese;Usa Paese;Venezuela Paese;Totale stranieri
01Gennaio;1188;29;165;176;663;1072;8363;383;5583;3278;2792;2863;1419;1305;471;94;394;6747;1066;95;242;296;1957;17377;382;587;235;1492;129;815;313;848;281;278;450;533;697;6237;33539;532;11358;16224;7841;1349;6222;14812;4346;269;2454;2693;824;1810;4310;8071;106;188055
02Febbraio;1176;39;169;231;920;1648;3938;557;2260;4200;2766;2230;826;1494;489;163;332;2984;2945;100;386;924;3420;16900;502;475;301;1457;108;640;414;799;506;577;334;949;143;10753;64991;1385;21307;36532;11514;1759;8171;20428;3746;83;8179;2240;292;883;4765;10238;31;265599
03Marzo;558;37;101;242;356;1184;1853;332;836;2550;6569;2018;1132;1619;317;85;325;917;513;216;472;343;2442;20467;359;436;411;727;18;489;889;677;165;685;302;436;150;5714;21184;892;9966;18400;2237;647;5525;3656;2172;77;3927;1837;232;531;1533;9371;89;139218
04Aprile;462;;161;168;314;2173;712;312;568;441;360;1630;110;1124;410;10;775;259;139;251;47;98;1521;3275;225;113;1246;149;2;494;168;108;79;174;245;237;36;626;925;466;2106;607;738;199;227;269;2324;92;301;1070;45;294;385;2565;7;31842
05Maggio;767;4;73;195;351;3291;1026;529;1502;1644;1051;1994;127;1261;729;8;1523;265;235;249;67;287;4064;6651;126;126;1423;270;10;792;180;412;54;290;256;216;202;2110;1635;431;2646;1139;1026;191;401;412;2736;52;106;906;37;524;818;5630;14;53064
06Giugno;1210;31;290;281;1017;10436;2364;1199;5609;5346;4975;3236;611;4198;3832;148;8724;1936;972;216;365;1264;14782;24216;1463;932;1794;1507;126;1076;616;2100;176;451;862;1872;912;10060;12196;1770;12308;10082;4800;737;3126;3981;10311;411;1570;4089;308;1426;3868;24989;63;217240
07Luglio;1122;38;306;110;1547;7261;2855;767;6187;4791;11525;1456;1756;5019;3428;266;11834;3795;6291;142;316;1699;22644;25853;2378;1029;1048;1692;152;2962;833;3566;381;412;734;4532;1113;18744;19383;988;15420;22520;6448;769;5361;6027;17680;249;4012;6463;244;2396;7798;30438;45;306825
08Agosto;970;25;325;114;1140;3908;2692;785;4599;4393;6954;1357;918;3995;2112;146;6668;3391;1498;246;367;502;28557;25559;1299;876;1113;1431;343;3779;912;2193;495;404;456;1188;928;14063;16808;1095;14045;13333;7039;748;3721;4516;22856;158;1186;3753;166;2196;5155;22154;136;249766
09Settembre;1159;33;179;207;785;8228;1744;931;7769;4448;5505;2791;676;6469;3041;124;4271;871;1104;289;326;879;13107;23882;971;473;1103;1983;367;3578;515;1427;186;500;637;1524;1410;10620;11321;1039;14140;6565;4181;652;2617;2481;10496;295;766;3872;197;1321;2505;33337;73;209970
10Ottobre;776;4;182;502;367;7635;1221;797;2217;1218;805;2794;97;1956;2989;49;4135;369;355;455;186;384;2925;6276;183;237;893;393;14;2173;611;299;9;215;316;217;261;1507;1528;586;2803;2359;2390;327;623;573;3425;65;228;1372;108;883;1166;8154;52;72664
11Novembre;289;;147;244;218;767;1046;92;341;842;395;893;36;1086;794;5;1111;186;222;343;30;96;1376;2797;110;117;192;199;;192;1008;103;26;98;101;83;17;244;676;242;1447;638;2255;187;117;336;632;4;99;958;17;569;79;2207;18;26327
