progressivo;anno;ambito territoriale;dettaglio;Mese;Arrivi italiani;Arrivi stranieri;Presenze italiani;Presenze stranieri;Totale arrivi;Totale presenze
1;2023;STL;01 Dolomiti;Gennaio;56389;34949;223311;160101;91338;383412
2;2023;STL;01 Dolomiti;Febbraio;45226;45321;162129;220864;90547;382993
3;2023;STL;01 Dolomiti;Marzo;30148;29599;118866;136589;59747;255455
4;2023;STL;01 Dolomiti;Aprile;13046;9474;52639;26080;22520;78719
5;2023;STL;01 Dolomiti;Maggio;9561;19414;31934;39116;28975;71050
6;2023;STL;01 Dolomiti;Giugno;39920;62651;123085;138764;102571;261849
7;2023;STL;01 Dolomiti;Luglio;84921;94474;383533;233914;179395;617447
8;2023;STL;01 Dolomiti;Agosto;97340;74050;533763;175685;171390;709448
9;2023;STL;01 Dolomiti;Settembre;39077;72438;124469;154179;111515;278648
10;2023;STL;01 Dolomiti;Ottobre;11474;18556;35921;40863;30030;76784
11;2023;STL;01 Dolomiti;Novembre;5977;2922;25704;8034;8899;33738
12;2023;STL;01 Dolomiti;Dicembre;54050;21713;180239;82323;75763;262562
13;2023;STL;01 Dolomiti;TOTALE;487129;485561;1995593;1416512;972690;3412105
