progressivo;anno;provenienza;Comuni;Gen Presenze;Feb Presenze;Mar Presenze;Apr Presenze;Mag Presenze;Giu Presenze;Lug Presenze;Ago Presenze;Set Presenze;Ott Presenze;Nov Presenze;Dic Presenze;Totale presenze
125;2022;Italiani + stranieri;25001 - Agordo;895;724;738;828;895;828;2018;2395;1051;1333;1376;880;13961
126;2022;Italiani + stranieri;25002 - Alano di Piave;1092;1164;1257;1203;1568;1642;2030;1855;1778;1526;1088;1159;17362
127;2022;Italiani + stranieri;25003 - Alleghe;17287;19586;16538;1171;2076;8200;23658;30070;9841;1915;1063;10710;142115
128;2022;Italiani + stranieri;25004 - Arsié;100;119;21;577;1588;6166;10851;13888;2876;282;22;100;36590
129;2022;Italiani + stranieri;25005 - Auronzo di Cadore;11580;11700;6369;2792;6097;31406;73753;78070;29123;8563;1915;9130;270498
130;2022;Italiani + stranieri;25006 - Belluno;6862;7286;8313;8195;10152;11025;14094;16464;10482;9643;8495;8632;119643
131;2022;Italiani + stranieri;25007 - Borca di Cadore;4383;3757;3186;2149;2259;5160;11909;15281;6624;3148;1983;5373;65212
132;2022;Italiani + stranieri;25008 - Calalzo di Cadore;1250;1424;602;733;1361;2677;7708;9078;3424;1045;1038;1277;31617
133;2022;Italiani + stranieri;25010 - Cencenighe Agordino;156;258;120;199;179;260;647;963;191;120;23;35;3151
134;2022;Italiani + stranieri;25011 - Cesiomaggiore;152;128;147;223;167;504;622;1064;544;275;263;242;4331
135;2022;Italiani + stranieri;25012 - Chies d'Alpago;431;376;320;344;259;470;666;1145;591;610;584;742;6538
136;2022;Italiani + stranieri;25013 - Cibiana di Cadore;230;201;182;80;62;794;1919;2458;563;257;57;361;7164
137;2022;Italiani + stranieri;25014 - Colle Santa Lucia;737;1289;1009;290;406;1810;3659;4187;1884;432;167;893;16763
138;2022;Italiani + stranieri;25015 - Comelico Superiore;5742;4299;2356;972;934;4839;18620;24599;6722;1948;476;5857;77364
